,url,text,ocen
0,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Посетила данное заведение в первый раз и была приятно удивлена качеством напитка и обслуживанием: разнообразное меню, кассир помогла сориентироваться, сделали быстро и вкусно. Обязательно вернусь сюда еще раз, попробую другие напитки",5.0
1,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Милое заведение, местоположение супер
Хороший персонал, напиток готовится быстро (около 7 минут)
4 за меню, несмотря на хороший мини-бар со снеками, сами напитки могли бы быть поразнообразнее 
Цены средние 
А так место хорошее, рекомендую",4.0
2,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Хорошее и приятное место с большим выбором чая, кофе и бобы. В отличии от остальных заведений в которых я бывал, здесь всегда мягкая тапиока и именно такую я обожаю) хотя в отличии от их же заведения на проспекте мира, здесь иногда переваривают и она уже совсем почти не держат форму. Не каждому такое зайдет.

Кроме того, спасибо понимающим работникам. Мою подругу внезапно хватила паническая атака и тот побеспокоился, предложив принести воды. За это определенно спасибо.",5.0
3,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,Красиво. Уютно. Красивые официанты. Ненавязчиво но очень приятно обслуживают. Особенно с бородой и голубыми глазами. Все супер. И виды с террасы тоже!,5.0
4,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Классное место! Ребята сами делают тапиоку, причём очень вкусную. Брала таро с карамельной тапиокой, прям не придраться. Внутри места не так много, но очень уютно)",5.0
5,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Приятный персонал, который помог определиться с выбором напитков, приятное красивое оформление и освещение. Очень понравилась музыка\радио. Напитки тоже очень вкусные",5.0
6,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Красивый дизайн и неплохие напитки, но грязный зал и неприятный персонал.
Зашли с подругой выпить чего-то горячего и скушать по десерту. В итоге, ждали почти пол часа, при том, что людей почти не было. Светлый интерьер кофейни очень портят множественные следы и пыль. Также хочу отметить громкую музыку. Я понимаю, что в подобныъ местах всегда играет какая-то музыка на фоне, но не так же громко, как в клубе",2.0
7,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"очень атмосферное место, красиво оформлено, очень вкусно, рекомендую, мне понравилось, есть выбор всяких вкусняшек бабл ти очень вкусный, спасибо",5.0
8,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Кафе Jiniu просто удивительное место!
Невероятно уютная атмосфера, прекрасный интерьер и, конечно же, восхитительный бабл ти. Я была поражена вкусами напитков 💔. Очень советую попробовать таро бабл ти и матчу .Обслуживание также на высшем уровне, персонал был очень дружелюб и приветлив. Я обязательно вернусь сюда снова, чтобы насладиться этим замечательным напитком и атмосферой кафе jinju 🤍",5.0
9,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Очень приятное место! Решила заглянуть, проходя мимо и осталась в восторге. Выбор на любое настроение, помогли определиться с напитком и сделали безупречно вкусно! Прекрасно все : от дружелюбной атмосферы и сотрудников до качества напитков. Спасибо за настроение! 
Обязательно вернусь ❤️‍🔥",5.0
10,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Одна из лучших тапиок которые есть в мск. Но сильно испортило впечатление напиток ""яичный пудинг с тапиокой) взяла большой за 600. А в конечном итоге это просто тапиока с холодным молоком( либо мало пудинга подолжили, либо растворился пудинг, но мы пили пока шли(( и в конечном итоге настроение было сильно испорчено. Попадается совсем чуть чуть. Мои друзья, кто попробвал тоже были удивлены(

Надеюсь вы поправите данную позицию(",3.0
11,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Место безумно классное. Узнала о нём 1-2 года назад благодаря подруги. Атмосфера сама по себе классная и замечательная,особенно нравится фонтанчик. Напитки - супер,на любой вкус и цвет как говориться. Самое классное это то,что есть достаточно большой выбор азиатской еды. В общем - место отличное и рекомендую сходить тем,кто хочет попробовать что-то новое.",5.0
12,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"По вкусу все неплохо, но персонал портит все впечатление и отбивает всякое желание возвращаться и попробовать другие напитки, которых, кстати, достаточно много в меню. 
Девушка за кассой не могла ответить ни на один вопрос, говорила очень тихо, себе под нос, перепутала размер моего заказа (я заплатила за L, мне сделали М), передо мной было перепутано еще 2 заказа. Я не стала ждать переделки и ушла, так как итак провела в этом заведении 20 мин, хотя передо мной было всего 2 человека.

Все-таки как много зависит от персонала.",2.0
13,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Нежная и мягкая тягучая тапиока, приятное качество самого напитка. Сделали быстро. Нравится фирменный стакан, удобный. Благодарность сотрудникам!",5.0
14,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Напиток очень вкусный, заказала холодный чай с яичной пеной и кокосовой стружкой — бодрящий, не очень сладкий, приятный, всем советую! Но, вот, персонал — это, конечно, отдельная история)) очень вялые, неохотно идут на коммуникацию, хотя их там, вроде, аж 4 человека! Давно такого в кофейнях не видела — даже немного удивилась",4.0
15,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Из плюсов, это общий антураж кафе. На этом всё

Минусы: громкая музыка, персонал

Очень часто не работают терминал с оплатой. Захожу третий раз (в течении месяца) и все эти разы просят оплатить переводом на карту. И каждый раз об этом говорят только после оформления заказа, а не ДО!

Мы пришли с подругой посидеть, в кафе были одни. На нашу просьбу сделать музыку потише, чтобы мы могли поговорить, старший по этой точке сделал замечание НАМ (посетителям), что это кафе и тут просто обязана играть музыка как в клубе на дискотеке и демонстративно сделал ее ещё громче. В итоге нормально посидеть не получилось, просто думаешь как там не оглохнуть когда готовят напитки. 

В общем, сегодня рухнула последняя надежда ожидать от этого места чего-то хорошего. Также отмечу, что в кафе очень пыльно и грязно. Полки похоже вообще не протирают и на всех декорациях скопился слой пыли, соответсвенно дышать этим тоже неприятно",1.0
16,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Отличное место,всем рекомендую,был несколько раз и всегда очень вкусно,после этого кафе в другие места не хочется. Брал мокко с карамельной тапиокой. Очень понравилось это место,действительно вкусные напитки.",5.0
17,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Немного растерялся в меню, но дружелюбный сотрудник все доступно объяснил. 
В итоге я взял крем-кейк латте с тапиокой. Никогда такого не пробовал и решил рискнуть.
Не хватит слов выразить восторг от вкуса напитка. Я обязательно вернусь чтоб испытать это удовольствие снова
Тапиока просто бомбическая на вкус

Снижаю немного оценку за долгое ожидание и сломанный стул посреди зала.",4.0
18,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Достаточно милое и приятное заведение. Напитки на вкус полный улёт, играет приятная музыка, персонал достаточно вежливый, рекомендую!",5.0
19,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Уютное кафе с хорошим выбором напитков и десертов к ним. Но персонал не шипко расторопный. Для нашей компании из 4 девушек заказанные напитки готовились очень медленно… Разочаровал кофе. Сотрудник кафе ответил «а у нас так», когда я спросила, почему кофе Раф (большая порция) они готовят на молоке и лишь с добавлением капли сливок (тогда как молока там не должно быть вообще…)?🙄 Намеренное удешевление себестоимости напитка и несоответствие заявленного вида кофе. К тому же он был чересчур сладким🥴",3.0
20,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Соглашусь с некоторыми отзывами: 
1. Вывеска приятная, но за ней кроется грязный пол и ужасный запах (если нет вытяжки, то по дно хотя бы проветривать). При этом аромат: смесь тушеной капусты с чему-то.
2. Сервис не очень приятный: заказ принимает девушка со взглядом из-под лобья, с каким-то вызовом. 

Вощвращаться сюда не буду, лучше пойти на фуд-корт поблизости и купить бабл ти известной марки в комфортных условиях. 
2. Не выдают никаких пейджеров, заказ объявляют так тихо, что когда при мне поставили первый готовый стакан, никто из сидящих (полный зал) не среагировал, потому что не услышал. 
3. Громкая музыка, которую судя по всему ставят по вкусу персонала, а не ориентируясь на потенциальный посетителей, или стиль кафе в целом. 

Мой заказ сделали в течение 11 минут, молча (или тихо сказав) поставили на стол. Пришлось уточнить что это и забрать.",1.0
21,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Все понравилось. Прочитала отзывы и была немного напугана касательно работы персонала, но меня хорошо обслужили и достаточно быстро, пришла в будний день",5.0
22,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"18.02 заглянула в кофейню, за кассой была замечательная девушка , очень приятная и вежливая. 
Побольше бы таких сотрудников , настроение с утра поднимается!",5.0
23,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"очень атмосферное место, где готовят потрясающий бабл ти по доступным ценам! отзывчивый персонал) много необычных снеков из стран азии для покупки) однозначно рекомендую к посещению!",5.0
24,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"первое, за что хочу отметить данное заведение это за приятную атмосферу и музыку, ожидание немного долгое, но терпимо
напитки действительно очень вкусные, берите обязательно с тапиокой!!",5.0
25,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Очень вкусные паровые пирожки)) брала с говядиной и сырок 🤤 Кофе тоже вкусный! Визуально неприметное место, интерьер внутри простоват, но обслуживание быстрое, сотрудники приветливые. Всё понравилось",5.0
26,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Очень приятное место: 5/5
Долго избегала Jinju из-за низкого рейтинга и очень зря!
Здесь я попробовала самую мягкую и приятную тапиоку — это прямо услада! Сами напитки сбалансированные и очень вкусные!
Немаловажно и то, что в этом кафе можно спокойно посидеть и отдохнуть (большинство бабблтишных очень тесные).
В общем, впечатление хорошее)",5.0
27,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,Красивый интерьер. Уютный вид во двор с террасы. Красивые и уютные официанты. Хорошее впечатление!,5.0
28,https://yandex.lv/maps/org/jinju_bubble_tea/155531159172/reviews,"Брала не раз там кофе, стали явно обманывать. Вместо 300мл наливают 150. Когда повторно пришла и попросила 300, ситуация повторилась. Я сказала об этом персоналу, меня внаглую пытались переубедить что там все соответствует и доливать мне никто не собирался.",1.0
