,date,text,likes,views
0,2025-03-21 14:07:09,,29,1042
1,2025-03-19 15:44:11,,15,1284
2,2025-03-17 12:59:15,"Double Bubble Tea идёт по стране!  Москва и Санкт-Петербург, Казань и Омск, Саратов, Петрозаводск и Луганск — в каждом городе найдутся те, кто ценит этот вкусный и бодрящий напиток!  Где бы мы ни были — везде нас объединяет Double Bubble Tea!🧋",20,1374
3,2025-03-14 15:32:23,"Слышал про Bubble Tea, но не уверен, стоит ли пробовать? 🧋  Этот напиток появился случайно, но покорил миллионы людей! Читай нашу карусель и узнай, как началась история бабл ти! 🩷",8,867
4,2025-03-13 14:22:00,,33,1334
5,2025-03-10 17:23:41,"Родители часто спрашивают: можно ли детям пить Bubble Tea? 👀  Ответ — да, если выбрать правильный вариант!   В карусели рассказываем, на что обратить внимание при заказе бабл ти для ребёнка. 🩷",13,897
6,2025-03-07 13:43:21,"Мятный шоколад с тапиокой не задерживается в руке надолго! 🧋  Сначала рука тянется, чтобы забрать напиток . Потом — чтобы сделать первый глоток. А затем мятный шоколад просто исчезает! Разгадка проста: от сочетания какао, освежающей мяты и мягкой тапиоки невозможно удержаться.  Если план был «просто попробовать», то, кажется, миссия провалена. Впрочем, в меню Double Bubble Tea ещё столько всего — так что эксперименты продолжаются! 🩷",9,902
7,2025-03-05 16:00:24,,62,1947
8,2025-03-04 11:56:52,"Из вкусов Double Bubble Tea можно собрать самые необычные наборы — например, как эта тройка! 🫧  Мятный шоколад с тапиокой — освежает, как зимний ветерок, и радует, как любимая шоколадка.  Гуава-вишня с кокосовым желе — яркое тропическое комбо с сочной кислинкой и мягким кокосовым послевкусием. Это — билетик в лето!  Фисташковый латте с топиокой — настоящий хит и легенда. Каждый раз вкусно, как в первый!   В меню Double Bubble Tea можно брать проверенные вкусы или искать новых любимчиков — наши сюрпризы на этом не закончатся! 🩷",8,912
9,2025-03-01 08:32:41,"Если день вдруг пошёл не по плану, настроение ушло в офлайн, а мысли зависли — это знак. Пришло время для перезагрузки с Double Bubble Tea! 🩷  У каждого напитка из меню DBT есть своя суперспособность. Один подарит тёплые объятья, другой наполнит энергией, когда опускаются руки, а третий просто напомнит, что всё будет хорошо.   В Double Bubble Tea можно найти вкусное решение для любой ситуации — пора выбирать своё! 😌",21,1292
10,2025-02-26 15:44:22,"Жизнь — это движение, а двигаться по жизни всегда лучше с Double Bubble Tea! 🫧  Самые смелые трюки прекрасно сочетаются с самыми смелыми вкусами: олли, флипы и грайнды хорошо дополнят наши яркие вайбы, бризы и классический молочный чай!   Вкусный выбор для активных — в Double Bubble Tea. Время заскочить за любимым напитком и продолжить путь к новым вершинам! 😉",7,1006
11,2025-02-21 14:01:52,"Большое открытие на Литейном! 🎉  Срочные новости в мире бабл ти: сегодня Double Bubble Tea открывается на Литейном, 52!   С новым кафе у наших постоянных посетителей появляется новый повод для радости! Double Bubble Tea — это встречи с друзьями, уютные посиделки, свежие ингредиенты и, конечно, огромный выбор вкусов — от классики до самых необычных сочетаний.   Что ждёт в новом DBT?  🧋Культовые бабл-ти — сладкие, бодрящие, нежные и с яркими топпингами!  ✨ Атмосфера — тёплая и ламповая, идеальная для душевных разговоров и стильных фоточек.  🧇 Что-то к чаю — как насчёт гонконгских вафель, не только сладких, но и сытных?  Тимейкеры-супергерои — помогут выбрать идеальный напиток и поднимут настроение.  Ждём на Литейном проспекте, 52 — всё пройдёт Double Bubble тип-топ! 🩷",17,1308
12,2025-02-18 12:08:03,"Наша сырная шапка такая густая, что её применяют в строительстве — ведь с Double Bubble Tea можно строить самые масштабные планы на день! 🫧",14,1320
13,2025-02-03 16:34:01,"Спасибо за ваши отметки! 💕  Мы невероятно благодарны каждому, кто делится своими фотографиями и видео с самыми яркими моментами проведенными вместе с нами!  Для нас важно, чтобы поход в наше кафе, был особенным, и ярким событием✨  Продолжайте радовать нас своими отзывами и фотографиями, это вдохновляет нас!🩷 А мы в свою очередь, будем радовать вас!",12,1955
14,2025-01-30 18:36:56,,24,2188
15,2025-01-25 09:45:18,"Мы очень ценим вашу обратную связь, поэтому решили поделиться этими чудесными словами!🥺  Спасибо, благодаря вам мы становимся лучше🧋  Делаем вторую часть?)✨",10,2166
16,2025-01-23 17:15:50,Приходи попробовать невероятно вкусный бабл ти!✨🫶🏻🧋,27,2394
17,2025-01-21 12:20:02,"Представь: нежный вкус любимого чая, мягкая тапиока и яркий микс фруктов... ммм...🤤 Перестань мечтать – приходи в Double Bubble Tea! У нас ты найдешь огромное разнообразие бабл ти на любой вкус, уютную атмосферу и отличное настроение. Ждем тебя! 😉",12,1861
